Crop,State,Season,Quantity (kg),Price per kg (₹),Total Value (₹)
Maize,Maharashtra,Rabi,4288,26.23,112481.88
Maize,Maharashtra,Rabi,4880,29.33,143149.26
Cotton,Gujarat,Kharif,1347,28.84,38847.14
Rice,Maharashtra,Rabi,1041,15.07,15691.71
Rice,Karnataka,Kharif,1202,22.17,26650.35
Soybean,Punjab,Rabi,3191,16.65,53128.93
Cotton,Karnataka,Kharif,919,16.4,15075.51
Cotton,Tamil Nadu,Kharif,2511,18.51,46479.34
Soybean,Punjab,Kharif,4686,33.74,158089.81
Rice,Punjab,Kharif,1277,15.8,20182.42
Wheat,Maharashtra,Kharif,1696,19.04,32298.24
Soybean,Maharashtra,Rabi,3529,30.59,107955.15
Maize,Punjab,Kharif,2328,28.18,65607.27
Wheat,Tamil Nadu,Kharif,3766,18.1,68160.76
Cotton,Tamil Nadu,Kharif,3278,25.33,83015.54
Wheat,Punjab,Rabi,688,30.16,20751.2
Rice,Karnataka,Rabi,3683,28.72,105767.83
Maize,Karnataka,Kharif,2628,32.3,84888.49
Rice,Maharashtra,Rabi,1501,31.09,46666.14
Rice,Karnataka,Rabi,570,32.36,18445.43
Wheat,Maharashtra,Kharif,1009,16.95,17103.16
Soybean,Gujarat,Kharif,4157,19.13,79503.19
Wheat,Karnataka,Kharif,688,31.75,21846.15
Maize,Karnataka,Kharif,3977,27.8,110543.13
Rice,Maharashtra,Rabi,1398,30.7,42924.62
Soybean,Punjab,Rabi,4706,23.29,109595.28
Cotton,Gujarat,Rabi,3676,29.12,107035.22
Wheat,Punjab,Kharif,4141,20.85,86320.63
Wheat,Tamil Nadu,Kharif,3147,15.76,49597.28
Wheat,Maharashtra,Kharif,2240,22.26,49853.6
Maize,Tamil Nadu,Rabi,1361,27.58,37531.07
Maize,Punjab,Rabi,1284,31.88,40930.06
Rice,Tamil Nadu,Kharif,4545,28.68,130370.77
Cotton,Punjab,Rabi,2451,28.75,70467.97
Rice,Maharashtra,Rabi,4339,18.2,78962.55
Maize,Karnataka,Kharif,4439,16.09,71414.02
Rice,Punjab,Kharif,3687,33.92,125065.84
Soybean,Maharashtra,Kharif,1993,15.6,31083.69
Cotton,Gujarat,Rabi,719,32.62,23454.01
Maize,Karnataka,Rabi,3745,28.06,105086.2
Rice,Karnataka,Rabi,4033,15.65,63110.89
Wheat,Maharashtra,Kharif,1334,16.78,22390.12
Maize,Gujarat,Kharif,4311,18.67,80486.7
Soybean,Punjab,Kharif,4514,19.89,89771.88
Wheat,Tamil Nadu,Rabi,2826,17.51,49485.27
Soybean,Gujarat,Rabi,2732,15.4,42061.41
Wheat,Maharashtra,Kharif,974,28.07,27337.14
Rice,Tamil Nadu,Kharif,1664,18.75,31195.56
Wheat,Maharashtra,Rabi,545,20.35,11090.05
Wheat,Karnataka,Kharif,2169,23.9,51829.2
Soybean,Gujarat,Kharif,2429,21.24,51586.22
Maize,Gujarat,Kharif,1490,22.21,33091.84
Wheat,Maharashtra,Kharif,3548,15.78,55996.73
Soybean,Punjab,Rabi,3524,15.87,55932.83
Maize,Karnataka,Rabi,1975,29.39,58047.93
Soybean,Maharashtra,Kharif,2659,21.12,56171.36
Maize,Karnataka,Rabi,4089,20.74,84794.81
Rice,Maharashtra,Kharif,2685,23.22,62346.43
Cotton,Tamil Nadu,Kharif,4172,21.62,90189.24
Wheat,Karnataka,Rabi,893,23.13,20651.76
Wheat,Maharashtra,Rabi,2327,17.41,40514.32
Soybean,Punjab,Rabi,4820,27.92,134573.5
Cotton,Gujarat,Kharif,3986,16.56,65990.97
Soybean,Gujarat,Kharif,4899,33.3,163155.23
Wheat,Maharashtra,Rabi,1441,19.18,27643.26
Cotton,Punjab,Kharif,2739,32.1,87923.19
Wheat,Gujarat,Rabi,740,29.92,22137.31
Maize,Maharashtra,Kharif,3223,32.25,103936.48
Rice,Karnataka,Rabi,2365,28.01,66254.86
Maize,Karnataka,Rabi,4112,18.88,77652.3
Cotton,Gujarat,Rabi,1304,19.07,24870.64
Rice,Tamil Nadu,Kharif,947,33.93,32128.2
Maize,Punjab,Rabi,3950,16.19,63941.48
Wheat,Punjab,Rabi,4032,16.17,65211.71
Cotton,Tamil Nadu,Rabi,1368,24.16,33048.99
Wheat,Punjab,Kharif,2703,28.63,77377.5
Wheat,Maharashtra,Rabi,751,21.96,16493.55
Soybean,Gujarat,Kharif,4866,17.21,83726.11
Rice,Gujarat,Rabi,3149,27.83,87647.74
Wheat,Tamil Nadu,Rabi,1882,33.49,63019.87
Rice,Maharashtra,Kharif,3846,28.31,108894.27
Soybean,Punjab,Rabi,2516,31.88,80206.33
Maize,Tamil Nadu,Rabi,4418,33.07,146117.29
Rice,Tamil Nadu,Rabi,4698,22.71,106671.39
Rice,Gujarat,Rabi,2373,18.39,43644.26
Maize,Karnataka,Kharif,4142,23.16,95931.37
Soybean,Karnataka,Kharif,4508,26.66,120197.46
Maize,Karnataka,Kharif,955,21.21,20257.51
Cotton,Maharashtra,Rabi,3723,24.39,90796.78
Maize,Maharashtra,Kharif,2436,32.66,79563.66
Cotton,Maharashtra,Kharif,1327,27.32,36257.56
Maize,Karnataka,Kharif,1155,20.69,23894.64
Soybean,Gujarat,Rabi,1690,33.37,56389.97
Maize,Punjab,Kharif,1995,23.69,47255.98
Cotton,Maharashtra,Kharif,4547,34.87,158567.34
Wheat,Gujarat,Kharif,3162,17.85,56435.08
Rice,Punjab,Rabi,3398,15.31,52011.42
Cotton,Tamil Nadu,Rabi,2102,16.23,34123.79
Wheat,Tamil Nadu,Kharif,2093,31.93,66831.33
Maize,Punjab,Rabi,3220,25.97,83637.11
Soybean,Tamil Nadu,Rabi,4687,24.73,115912.77
Cotton,Punjab,Kharif,4189,29.51,123635.07
Rice,Gujarat,Kharif,1383,34.24,47349.09
Soybean,Tamil Nadu,Kharif,1944,23.96,46578.05
Wheat,Tamil Nadu,Rabi,4191,31.06,130155.01
Rice,Punjab,Kharif,2495,26.81,66896.43
Rice,Maharashtra,Kharif,2133,34.06,72644.32
Wheat,Karnataka,Rabi,1025,32.36,33172.0
Maize,Punjab,Rabi,4248,17.73,75317.76
Soybean,Karnataka,Rabi,1496,24.55,36722.41
Cotton,Maharashtra,Rabi,4017,21.87,87856.49
Rice,Maharashtra,Kharif,4018,25.07,100727.05
Maize,Tamil Nadu,Kharif,3136,28.09,88086.23
Soybean,Tamil Nadu,Rabi,4937,31.21,154079.87
Wheat,Punjab,Kharif,4731,34.85,164876.0
Maize,Gujarat,Rabi,2896,29.1,84285.28
Maize,Karnataka,Kharif,4581,26.81,122813.46
Cotton,Maharashtra,Kharif,3314,17.16,56871.85
Cotton,Tamil Nadu,Rabi,2607,29.19,76105.35
Wheat,Maharashtra,Rabi,4002,20.63,82549.14
Cotton,Punjab,Rabi,1922,30.81,59220.41
Rice,Tamil Nadu,Kharif,2540,28.75,73023.08
Maize,Karnataka,Kharif,4999,27.14,135672.88
Rice,Tamil Nadu,Kharif,4959,25.13,124595.38
Maize,Karnataka,Kharif,3989,25.95,103527.69
Maize,Punjab,Kharif,2611,17.5,45694.44
Maize,Gujarat,Rabi,3051,16.08,49057.17
Rice,Gujarat,Kharif,1281,28.89,37006.69
Wheat,Karnataka,Rabi,1553,21.99,34152.81
Maize,Karnataka,Rabi,4297,33.2,142643.25
Soybean,Gujarat,Kharif,4086,15.7,64143.61
Rice,Gujarat,Rabi,692,30.62,21185.74
Wheat,Punjab,Kharif,4502,17.36,78138.4
Rice,Punjab,Kharif,4631,15.68,72602.14
Cotton,Karnataka,Rabi,3266,30.48,99540.53
Rice,Gujarat,Kharif,4533,29.51,133782.69
Maize,Gujarat,Rabi,944,16.32,15409.22
Soybean,Maharashtra,Rabi,1048,25.34,26554.22
Maize,Karnataka,Kharif,3886,22.47,87302.43
Cotton,Maharashtra,Kharif,2173,33.91,73691.64
Wheat,Maharashtra,Rabi,4565,20.12,91835.47
Wheat,Maharashtra,Rabi,2332,27.77,64754.55
Wheat,Karnataka,Rabi,3461,16.77,58047.77
Soybean,Gujarat,Rabi,4263,17.59,74973.35
Cotton,Tamil Nadu,Kharif,748,17.2,12866.91
Maize,Punjab,Kharif,4415,24.58,108535.8
Wheat,Maharashtra,Rabi,3011,32.39,97512.67
Wheat,Karnataka,Rabi,2223,17.71,39369.4
Maize,Karnataka,Kharif,4566,21.25,97026.57
Rice,Tamil Nadu,Rabi,2102,18.16,38163.42
Rice,Tamil Nadu,Kharif,4746,34.04,161573.74
Cotton,Punjab,Kharif,4769,30.69,146361.62
Rice,Karnataka,Rabi,1268,17.87,22653.5
Cotton,Maharashtra,Kharif,3848,31.64,121753.6
Maize,Karnataka,Kharif,507,16.99,8616.4
Soybean,Maharashtra,Kharif,1687,16.56,27939.06
Cotton,Punjab,Kharif,1014,19.81,20089.45
Soybean,Gujarat,Kharif,1527,22.33,34090.28
Soybean,Tamil Nadu,Kharif,2470,31.38,77501.73
Soybean,Karnataka,Rabi,1053,31.12,32766.97
Wheat,Gujarat,Rabi,4666,26.87,125362.66
Maize,Maharashtra,Rabi,3191,32.38,103339.82
Cotton,Maharashtra,Kharif,2389,32.04,76531.62
Rice,Maharashtra,Kharif,771,30.59,23586.31
Wheat,Karnataka,Kharif,1546,15.99,24715.46
Rice,Maharashtra,Rabi,4609,30.38,140008.05
Wheat,Tamil Nadu,Kharif,622,23.91,14873.51
Rice,Karnataka,Rabi,3336,17.65,58894.63
Soybean,Maharashtra,Rabi,2598,31.91,82898.85
Wheat,Tamil Nadu,Rabi,3766,24.46,92106.28
Rice,Maharashtra,Rabi,4683,19.53,91452.16
Soybean,Tamil Nadu,Rabi,2659,25.19,66981.95
Wheat,Maharashtra,Kharif,1399,27.57,38564.16
Rice,Punjab,Kharif,3807,32.62,124188.29
Rice,Gujarat,Rabi,3892,31.4,122221.43
Maize,Tamil Nadu,Kharif,4954,27.26,135028.27
Soybean,Tamil Nadu,Kharif,3995,31.44,125606.87
Wheat,Punjab,Rabi,3266,25.58,83554.49
Soybean,Punjab,Rabi,2560,33.87,86713.48
Cotton,Punjab,Kharif,3676,32.2,118367.23
Rice,Maharashtra,Kharif,2944,20.96,61696.25
Rice,Gujarat,Rabi,652,30.58,19937.82
Soybean,Karnataka,Kharif,4270,27.88,119049.58
Soybean,Punjab,Kharif,1346,32.29,43466.09
Cotton,Punjab,Kharif,3854,24.87,95843.76
Maize,Karnataka,Rabi,1397,28.06,39196.25
Rice,Karnataka,Rabi,1925,18.66,35925.61
Soybean,Tamil Nadu,Rabi,1551,19.4,30084.47
Soybean,Tamil Nadu,Rabi,4072,21.75,88584.44
Maize,Tamil Nadu,Rabi,4301,28.07,120741.26
Maize,Punjab,Rabi,3869,18.16,70279.12
Rice,Punjab,Rabi,2114,34.04,71951.89
Cotton,Tamil Nadu,Kharif,2206,21.98,48493.45
Maize,Punjab,Kharif,4880,19.59,95598.21
Rice,Maharashtra,Rabi,1066,22.61,24103.01
Cotton,Punjab,Kharif,1058,33.95,35924.01
Wheat,Gujarat,Rabi,1202,32.06,38539.98
Soybean,Maharashtra,Kharif,1545,34.95,53991.63
Soybean,Maharashtra,Kharif,4353,16.81,73180.33
Wheat,Karnataka,Rabi,3205,33.32,106796.42
Cotton,Punjab,Kharif,4629,24.44,113140.71
Rice,Maharashtra,Rabi,3672,25.67,94265.04
Soybean,Karnataka,Kharif,2229,27.04,60268.69
Rice,Punjab,Rabi,3172,21.98,69724.96
Wheat,Karnataka,Kharif,4581,33.92,155409.2
Maize,Gujarat,Rabi,3429,24.79,85007.28
Wheat,Gujarat,Kharif,546,32.51,17750.32
Rice,Punjab,Kharif,3816,25.4,96923.46
Cotton,Maharashtra,Rabi,505,30.46,15383.54
Rice,Tamil Nadu,Kharif,2321,24.71,57361.89
Cotton,Maharashtra,Rabi,4190,21.22,88901.98
Soybean,Maharashtra,Kharif,4063,25.45,103391.17
Soybean,Maharashtra,Kharif,4741,22.56,106938.06
Maize,Karnataka,Kharif,4308,21.51,92666.12
Maize,Maharashtra,Kharif,2061,32.39,66751.33
Cotton,Maharashtra,Kharif,1764,27.43,48382.68
Wheat,Maharashtra,Kharif,789,25.29,19955.6
Soybean,Karnataka,Kharif,3111,16.24,50517.29
Rice,Maharashtra,Kharif,1892,27.51,52046.95
Cotton,Punjab,Kharif,1368,18.15,24831.97
Maize,Punjab,Kharif,1533,30.06,46080.91
Soybean,Karnataka,Rabi,1392,23.99,33391.72
Cotton,Maharashtra,Rabi,3745,29.47,110373.63
Wheat,Punjab,Kharif,3429,27.34,93762.8
Maize,Gujarat,Kharif,534,27.53,14701.59
Rice,Punjab,Kharif,3427,23.44,80314.74
Wheat,Tamil Nadu,Kharif,4243,15.25,64724.91
Maize,Karnataka,Rabi,4248,32.85,139556.19
Cotton,Gujarat,Rabi,3623,34.44,124772.34
Soybean,Gujarat,Kharif,1203,24.77,29794.91
Soybean,Tamil Nadu,Kharif,1173,28.48,33401.43
Wheat,Gujarat,Kharif,752,22.14,16648.38
Soybean,Punjab,Kharif,4966,18.01,89417.61
Rice,Tamil Nadu,Rabi,3637,17.89,65060.32
Maize,Karnataka,Kharif,2817,17.86,50299.46
Rice,Punjab,Kharif,4215,27.66,116602.14
Maize,Karnataka,Rabi,4780,32.0,152970.39
Cotton,Gujarat,Kharif,1264,18.79,23753.12
Wheat,Gujarat,Rabi,3834,24.33,93280.19
Maize,Maharashtra,Kharif,2881,25.58,73692.62
Wheat,Punjab,Kharif,2052,15.35,31507.7
Cotton,Tamil Nadu,Rabi,3182,25.99,82704.51
Rice,Gujarat,Kharif,4605,29.79,137160.8
Wheat,Karnataka,Kharif,2025,18.63,37726.24
Soybean,Gujarat,Kharif,3711,27.66,102647.18
Rice,Karnataka,Kharif,3162,19.18,60660.82
Rice,Karnataka,Rabi,732,17.32,12677.66
Cotton,Tamil Nadu,Kharif,3500,32.07,112251.52
Wheat,Gujarat,Rabi,1727,24.61,42495.02
Rice,Gujarat,Kharif,4474,26.43,118260.81
Rice,Maharashtra,Kharif,1080,17.95,19388.93
Wheat,Tamil Nadu,Rabi,607,24.8,15055.77
Wheat,Tamil Nadu,Rabi,1071,19.93,21345.88
Cotton,Gujarat,Rabi,3535,26.4,93313.17
Rice,Punjab,Kharif,3019,23.13,69841.73
Maize,Tamil Nadu,Kharif,4278,20.11,86034.57
Soybean,Maharashtra,Kharif,2391,19.23,45980.82
Maize,Tamil Nadu,Rabi,4885,25.64,125247.49
Rice,Maharashtra,Kharif,2678,30.9,82754.87
Soybean,Maharashtra,Rabi,4364,18.28,79759.5
Rice,Maharashtra,Kharif,2893,29.04,84019.88
Soybean,Maharashtra,Rabi,1756,33.54,58899.81
Cotton,Karnataka,Kharif,838,25.42,21301.06
Soybean,Gujarat,Kharif,3187,22.25,70900.63
Wheat,Karnataka,Kharif,3859,27.72,106974.61
Soybean,Karnataka,Kharif,534,29.73,15875.02
Rice,Karnataka,Kharif,2563,18.44,47261.96
Cotton,Gujarat,Rabi,3696,23.14,85508.0
Soybean,Gujarat,Kharif,2960,19.86,58791.28
Rice,Maharashtra,Kharif,1325,26.76,35459.85
Maize,Karnataka,Rabi,574,27.87,15997.38
Cotton,Tamil Nadu,Rabi,2925,19.29,56427.45
Rice,Gujarat,Kharif,1917,18.52,35499.29
Wheat,Maharashtra,Kharif,1465,30.55,44760.57
Rice,Punjab,Rabi,4654,17.49,81385.77
Soybean,Gujarat,Rabi,2016,24.36,49100.17
Maize,Tamil Nadu,Kharif,3189,29.65,94559.32
Cotton,Tamil Nadu,Rabi,1767,20.24,35758.49
Maize,Gujarat,Rabi,2948,17.41,51336.67
Maize,Punjab,Kharif,2731,32.41,88524.29
Soybean,Punjab,Rabi,4131,22.21,91739.98
Soybean,Karnataka,Kharif,2051,26.25,53831.07
Rice,Tamil Nadu,Kharif,2498,16.98,42411.92
Maize,Punjab,Kharif,2630,27.21,71556.45
Maize,Punjab,Rabi,3198,29.7,94977.23
Wheat,Punjab,Kharif,3701,21.18,78384.31
Maize,Tamil Nadu,Kharif,4307,20.59,88672.1
Cotton,Karnataka,Rabi,2648,22.84,60491.62
Cotton,Karnataka,Kharif,4824,22.43,108191.72
Rice,Gujarat,Kharif,4825,18.61,89775.91
Soybean,Maharashtra,Kharif,3298,15.99,52736.07
Cotton,Maharashtra,Rabi,1425,33.79,48148.41
Cotton,Tamil Nadu,Kharif,2604,23.3,60681.15
Rice,Gujarat,Kharif,4625,29.91,138322.89
Wheat,Karnataka,Kharif,2086,26.6,55493.98
Wheat,Maharashtra,Kharif,1251,24.23,30309.89
Rice,Karnataka,Kharif,1918,23.91,45864.79
Soybean,Karnataka,Kharif,3523,34.06,119981.72
Rice,Karnataka,Rabi,1158,31.92,36958.35
Rice,Karnataka,Rabi,3052,16.3,49755.71
Rice,Tamil Nadu,Kharif,2069,22.9,47380.71
Wheat,Tamil Nadu,Kharif,4711,27.89,131392.02
Cotton,Punjab,Rabi,4506,33.5,150940.29
Cotton,Gujarat,Kharif,3606,15.78,56906.24
Maize,Maharashtra,Rabi,1718,18.08,31063.11
Rice,Punjab,Rabi,3443,22.27,76668.94
Maize,Karnataka,Kharif,2267,15.95,36164.77
Wheat,Gujarat,Rabi,620,31.24,19371.35
Wheat,Punjab,Kharif,1436,20.95,30086.63
Maize,Punjab,Rabi,605,21.89,13241.23
Cotton,Tamil Nadu,Rabi,3569,15.75,56218.88
Soybean,Maharashtra,Rabi,4051,17.26,69906.17
Wheat,Maharashtra,Rabi,4927,19.35,95340.76
Rice,Maharashtra,Rabi,2600,15.96,41490.75
Soybean,Punjab,Kharif,2825,25.6,72328.31
Rice,Gujarat,Kharif,560,27.75,15542.74
Soybean,Punjab,Kharif,3679,16.19,59562.86
Cotton,Karnataka,Rabi,4436,24.25,107569.03
Maize,Maharashtra,Kharif,4079,15.63,63759.81
Cotton,Gujarat,Rabi,4190,31.09,130262.75
Wheat,Tamil Nadu,Kharif,4772,15.08,71967.47
Rice,Maharashtra,Rabi,2031,22.5,45696.95
Soybean,Gujarat,Kharif,2713,27.55,74749.3
Maize,Punjab,Rabi,1450,17.0,24650.49
Maize,Karnataka,Rabi,4819,15.29,73673.36
Maize,Tamil Nadu,Kharif,2031,18.22,37010.39
Wheat,Tamil Nadu,Kharif,4334,32.93,142721.47
Wheat,Maharashtra,Rabi,2668,32.81,87542.1
Rice,Karnataka,Rabi,4972,22.6,112383.56
Wheat,Punjab,Kharif,4012,18.3,73422.15
Wheat,Punjab,Rabi,3318,20.21,67044.98
Maize,Gujarat,Rabi,1325,18.52,24534.98
Rice,Gujarat,Rabi,3964,18.8,74522.16
Maize,Punjab,Rabi,2622,16.44,43096.88
Rice,Karnataka,Rabi,2031,24.85,50461.07
Wheat,Gujarat,Kharif,4849,19.68,95405.71
Rice,Gujarat,Kharif,828,34.69,28720.76
Soybean,Gujarat,Kharif,1846,26.72,49321.9
Soybean,Punjab,Kharif,1873,21.67,40595.31
Rice,Gujarat,Rabi,3481,31.79,110672.48
Rice,Punjab,Kharif,4478,34.74,155584.54
Cotton,Gujarat,Kharif,4628,26.37,122031.22
Cotton,Punjab,Kharif,3986,15.34,61133.98
Wheat,Karnataka,Rabi,1559,20.73,32323.7
Soybean,Tamil Nadu,Rabi,2550,24.75,63111.06
Maize,Gujarat,Rabi,2899,30.17,87455.87
Cotton,Gujarat,Kharif,2314,26.09,60376.71
Wheat,Punjab,Kharif,1925,31.67,60972.87
Maize,Tamil Nadu,Kharif,4922,21.78,107212.9
Soybean,Maharashtra,Kharif,4466,25.53,114033.67
Wheat,Maharashtra,Rabi,797,30.26,24121.19
Cotton,Punjab,Rabi,4191,19.69,82524.06
Cotton,Karnataka,Kharif,2307,19.62,45259.98
Cotton,Tamil Nadu,Rabi,4753,25.07,119148.64
Soybean,Punjab,Kharif,3792,32.56,123466.36
Maize,Tamil Nadu,Rabi,4871,23.83,116095.75
Cotton,Maharashtra,Rabi,4426,18.15,80319.63
Maize,Maharashtra,Rabi,747,17.12,12791.85
Rice,Maharashtra,Rabi,539,29.02,15642.28
Wheat,Gujarat,Kharif,3512,17.35,60939.53
Cotton,Maharashtra,Rabi,2787,32.64,90972.59
Wheat,Maharashtra,Rabi,4410,30.11,132783.24
Soybean,Punjab,Kharif,2183,32.43,70797.72
Soybean,Punjab,Rabi,743,16.85,12516.44
Maize,Karnataka,Kharif,2001,28.33,56678.4
Maize,Karnataka,Kharif,3825,20.57,78694.01
Maize,Tamil Nadu,Rabi,3200,18.89,60433.57
Cotton,Maharashtra,Kharif,1502,27.35,41086.67
Maize,Karnataka,Rabi,3567,26.51,94545.9
Cotton,Tamil Nadu,Kharif,2239,23.37,52318.58
Wheat,Punjab,Kharif,551,22.75,12536.72
Rice,Maharashtra,Rabi,4582,33.72,154499.41
Cotton,Karnataka,Kharif,4456,22.49,100235.22
Wheat,Gujarat,Rabi,1579,28.82,45510.61
Soybean,Punjab,Kharif,2642,15.69,41454.0
Soybean,Maharashtra,Rabi,2140,34.3,73402.13
Rice,Punjab,Kharif,4442,16.13,71648.76
Maize,Punjab,Rabi,1766,27.94,49347.25
Cotton,Karnataka,Kharif,2017,21.92,44208.54
Maize,Gujarat,Rabi,2912,31.02,90323.62
Soybean,Maharashtra,Rabi,3788,29.53,111872.07
Cotton,Gujarat,Kharif,1463,23.46,34327.33
Soybean,Punjab,Kharif,3358,24.23,81371.51
Cotton,Gujarat,Rabi,986,30.96,30523.41
Rice,Punjab,Kharif,948,22.26,21098.42
Soybean,Maharashtra,Kharif,588,24.89,14634.11
Soybean,Tamil Nadu,Rabi,4522,21.26,96136.92
Wheat,Tamil Nadu,Kharif,777,26.42,20528.86
Wheat,Gujarat,Rabi,2445,22.12,54088.11
Cotton,Gujarat,Rabi,4477,18.24,81664.81
Soybean,Gujarat,Rabi,2994,33.67,100796.32
Soybean,Karnataka,Rabi,4643,31.14,144600.43
Wheat,Gujarat,Kharif,4764,32.07,152776.94
Cotton,Gujarat,Kharif,2276,32.6,74188.24
Cotton,Gujarat,Kharif,3141,30.34,95305.32
Soybean,Tamil Nadu,Rabi,1147,28.69,32908.63
Wheat,Karnataka,Rabi,3754,33.62,126222.86
Rice,Punjab,Kharif,3246,31.97,103765.39
Wheat,Tamil Nadu,Rabi,2502,20.25,50663.45
Wheat,Karnataka,Kharif,4769,25.68,122480.0
Maize,Maharashtra,Rabi,4381,20.46,89625.46
Rice,Karnataka,Rabi,3377,30.69,103631.62
Wheat,Maharashtra,Kharif,3006,30.4,91392.45
Maize,Gujarat,Rabi,4011,33.24,133325.84
Maize,Maharashtra,Rabi,2538,28.79,73060.66
Rice,Gujarat,Kharif,692,20.41,14126.39
Rice,Tamil Nadu,Rabi,2647,19.98,52886.35
Wheat,Gujarat,Kharif,4978,18.45,91862.28
Soybean,Tamil Nadu,Rabi,2035,24.62,50097.42
Cotton,Maharashtra,Rabi,1554,19.79,30748.1
Soybean,Punjab,Kharif,3705,30.65,113565.89
Soybean,Gujarat,Rabi,4965,32.84,163059.07
Rice,Punjab,Rabi,2011,32.79,65946.39
Wheat,Gujarat,Kharif,1422,18.24,25941.19
Soybean,Tamil Nadu,Kharif,2980,27.6,82239.93
Maize,Tamil Nadu,Kharif,1503,19.9,29914.6
Cotton,Punjab,Rabi,763,21.36,16294.44
Maize,Gujarat,Kharif,1808,15.08,27273.32
Rice,Tamil Nadu,Rabi,3419,26.47,90496.22
Rice,Maharashtra,Rabi,3604,19.73,71105.25
Cotton,Punjab,Kharif,4075,22.55,91897.83
Soybean,Punjab,Rabi,635,17.51,11118.92
Cotton,Tamil Nadu,Rabi,744,32.02,23822.46
Cotton,Tamil Nadu,Kharif,2312,26.95,62306.85
Maize,Punjab,Kharif,1187,19.04,22603.3
Soybean,Punjab,Kharif,3154,32.8,103464.0
Wheat,Punjab,Kharif,2750,23.16,63682.38
Cotton,Maharashtra,Rabi,2652,33.82,89684.4
Maize,Punjab,Kharif,4825,32.21,155406.01
Maize,Maharashtra,Rabi,4230,23.74,100406.73
Wheat,Karnataka,Rabi,3905,33.8,131980.32
Cotton,Tamil Nadu,Kharif,3432,25.22,86541.7
Maize,Maharashtra,Kharif,4939,30.41,150178.64
Maize,Maharashtra,Kharif,536,33.07,17723.76
Cotton,Punjab,Kharif,2483,30.88,76670.26
Maize,Punjab,Rabi,3859,19.65,75833.04
Wheat,Karnataka,Rabi,1104,34.42,38000.84
Maize,Maharashtra,Rabi,2672,29.53,78912.77
Soybean,Karnataka,Rabi,2438,34.42,83906.78
Cotton,Tamil Nadu,Rabi,4559,19.22,87606.77
Soybean,Gujarat,Rabi,1512,24.64,37255.41
Soybean,Tamil Nadu,Rabi,1371,24.85,34072.0
Wheat,Punjab,Kharif,4731,18.41,87092.29
Cotton,Punjab,Kharif,3806,31.78,120941.18
Wheat,Punjab,Kharif,509,22.11,11255.18
Rice,Karnataka,Rabi,4838,25.6,123859.15
Maize,Gujarat,Kharif,3026,31.9,96538.92
Soybean,Punjab,Kharif,4425,32.82,145206.52
Maize,Punjab,Kharif,4561,17.87,81518.08
Soybean,Punjab,Kharif,1136,25.53,29001.8
Maize,Karnataka,Kharif,4718,28.78,135775.4
Rice,Maharashtra,Kharif,3496,34.03,118968.43
Rice,Punjab,Kharif,4827,30.42,146846.05
Wheat,Karnataka,Rabi,2325,31.92,74216.44
Soybean,Maharashtra,Kharif,2249,25.45,57230.03
Maize,Karnataka,Rabi,1701,17.68,30076.89
Cotton,Karnataka,Rabi,3944,15.82,62389.55
Cotton,Punjab,Kharif,2374,16.86,40028.55
Wheat,Punjab,Rabi,1930,19.37,37383.9
Soybean,Karnataka,Kharif,4916,23.58,115907.25
Soybean,Maharashtra,Rabi,1658,24.37,40401.08
Maize,Gujarat,Kharif,4527,30.05,136020.57
Rice,Punjab,Rabi,3071,30.01,92152.98
Cotton,Tamil Nadu,Kharif,3446,30.65,105614.66
Rice,Gujarat,Rabi,1498,23.47,35150.87
Cotton,Karnataka,Kharif,3004,15.08,45286.43
Maize,Gujarat,Rabi,3955,20.94,82814.96
Wheat,Karnataka,Rabi,702,21.27,14929.73
Soybean,Maharashtra,Kharif,3272,33.98,111179.7
Cotton,Gujarat,Rabi,3025,31.49,95266.63
Wheat,Punjab,Rabi,3578,20.15,72092.97
Wheat,Karnataka,Kharif,3985,33.92,135176.03
Rice,Tamil Nadu,Kharif,1173,17.81,20889.96
Cotton,Maharashtra,Rabi,1516,32.31,48979.63
Maize,Punjab,Rabi,2558,30.94,79134.32
Soybean,Tamil Nadu,Rabi,4736,27.86,131952.4
Rice,Gujarat,Rabi,2788,21.02,58593.65
Soybean,Gujarat,Rabi,3456,34.54,119367.7
Soybean,Tamil Nadu,Rabi,4441,24.59,109195.97
Cotton,Karnataka,Kharif,3230,32.23,104104.68
Maize,Tamil Nadu,Kharif,1204,31.07,37406.7
Rice,Tamil Nadu,Kharif,4555,28.6,130265.84
Soybean,Gujarat,Kharif,1525,17.13,26123.39
Soybean,Punjab,Rabi,4978,33.64,167455.88
Wheat,Maharashtra,Kharif,2877,24.25,69764.74
Soybean,Karnataka,Rabi,3562,27.58,98249.24
Maize,Karnataka,Rabi,1448,20.25,29326.57
Rice,Maharashtra,Kharif,3664,16.72,61248.71
Soybean,Gujarat,Kharif,688,33.88,23306.06
Rice,Gujarat,Rabi,2960,22.49,66573.33
Rice,Gujarat,Rabi,1376,19.36,26640.49
Cotton,Punjab,Kharif,2380,22.03,52422.5
Cotton,Maharashtra,Rabi,4556,23.55,107309.37
Rice,Punjab,Kharif,2021,25.8,52132.79
Rice,Karnataka,Rabi,3315,16.18,53620.97
Soybean,Karnataka,Kharif,2339,20.52,48003.08
Soybean,Punjab,Rabi,3602,22.42,80751.02
Soybean,Tamil Nadu,Kharif,526,16.61,8735.0
